in:Orientation,in:WWR,in:Shade_Position,in:Shade_Depth,in:VT,in:Lighting_Control,out:sDA_[%],out:ASE_[%],out:Total_EUI_[kWh/m²],out:Cooling_[kWh/m²],out:Heating_[kWh/m²],img
North,35%,Top,75cm,40%,No_Lighting_Control,60.7,19.82,110.8,6.8,38,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position0_Shade_Depth3_VT0_Lighting_Control0.png
West,35%,Top,75cm,40%,No_Lighting_Control,55.72,15.75,116.6,6.7,43.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position0_Shade_Depth3_VT0_Lighting_Control0.png
South,45%,Top,75cm,40%,No_Lighting_Control,52.98,0,121.1,6.6,48.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position0_Shade_Depth3_VT0_Lighting_Control0.png
East,45%,Top,75cm,40%,No_Lighting_Control,57.42,8.57,117.2,6.6,44.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position0_Shade_Depth3_VT0_Lighting_Control0.png
North,45%,Top,75cm,40%,No_Lighting_Control,68.02,24.93,110.8,6.8,37.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position0_Shade_Depth3_VT0_Lighting_Control0.png
West,45%,Top,75cm,40%,No_Lighting_Control,62.87,21.1,117.8,6.8,45,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position0_Shade_Depth3_VT0_Lighting_Control0.png
South,55%,Top,75cm,40%,No_Lighting_Control,59.72,0,122.4,6.8,49.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position0_Shade_Depth3_VT0_Lighting_Control0.png
East,55%,Top,75cm,40%,No_Lighting_Control,64.13,10.57,118,6.7,45.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position0_Shade_Depth3_VT0_Lighting_Control0.png
North,55%,Top,75cm,40%,No_Lighting_Control,76.73,28.93,110.2,7,37.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position0_Shade_Depth3_VT0_Lighting_Control0.png
West,55%,Top,75cm,40%,No_Lighting_Control,70.33,25.98,118.7,6.9,45.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position0_Shade_Depth3_VT0_Lighting_Control0.png
South,35%,Right,75cm,40%,No_Lighting_Control,48.85,0,119.5,6.6,46.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position1_Shade_Depth3_VT0_Lighting_Control0.png
East,35%,Right,75cm,40%,No_Lighting_Control,53.59,11.21,115.2,6.7,42.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position1_Shade_Depth3_VT0_Lighting_Control0.png
North,35%,Right,75cm,40%,No_Lighting_Control,64.87,26.49,109.3,7.4,35.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position1_Shade_Depth3_VT0_Lighting_Control0.png
West,35%,Right,75cm,40%,No_Lighting_Control,57.72,19.14,116.7,7,43.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position1_Shade_Depth3_VT0_Lighting_Control0.png
South,45%,Right,75cm,40%,No_Lighting_Control,55.39,0,121,6.7,48.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position1_Shade_Depth3_VT0_Lighting_Control0.png
East,45%,Right,75cm,40%,No_Lighting_Control,60.91,13.82,115.9,7,42.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position1_Shade_Depth3_VT0_Lighting_Control0.png
North,45%,Right,75cm,40%,No_Lighting_Control,73.2,30.69,108.4,7.5,34.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position1_Shade_Depth3_VT0_Lighting_Control0.png
West,45%,Right,75cm,40%,No_Lighting_Control,65.18,25.24,117.7,7.2,44.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position1_Shade_Depth3_VT0_Lighting_Control0.png
South,55%,Right,75cm,40%,No_Lighting_Control,62.03,0,122,6.6,49.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position1_Shade_Depth3_VT0_Lighting_Control0.png
East,55%,Right,75cm,40%,No_Lighting_Control,67.65,15.65,116.8,7.1,43.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position1_Shade_Depth3_VT0_Lighting_Control0.png
North,55%,Right,75cm,40%,No_Lighting_Control,82.86,34.08,107.8,7.8,34,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position1_Shade_Depth3_VT0_Lighting_Control0.png
West,55%,Right,75cm,40%,No_Lighting_Control,72.39,29.3,118.7,7.5,45.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position1_Shade_Depth3_VT0_Lighting_Control0.png
South,35%,Left,75cm,40%,No_Lighting_Control,49.53,0,119.5,6.6,46.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position2_Shade_Depth3_VT0_Lighting_Control0.png
East,35%,Left,75cm,40%,No_Lighting_Control,52.57,7.69,116,6.7,43.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position2_Shade_Depth3_VT0_Lighting_Control0.png
North,35%,Left,75cm,40%,No_Lighting_Control,64.6,26.49,109.2,7.4,35.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position2_Shade_Depth3_VT0_Lighting_Control0.png
West,35%,Left,75cm,40%,No_Lighting_Control,59.25,22.83,116,7.1,42.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position2_Shade_Depth3_VT0_Lighting_Control0.png
South,45%,Left,75cm,40%,No_Lighting_Control,56.3,0,121,6.7,48.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position2_Shade_Depth3_VT0_Lighting_Control0.png
East,45%,Left,75cm,40%,No_Lighting_Control,60.2,9.96,116.9,6.9,43.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position2_Shade_Depth3_VT0_Lighting_Control0.png
North,45%,Left,75cm,40%,No_Lighting_Control,73,30.86,108.3,7.5,34.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position2_Shade_Depth3_VT0_Lighting_Control0.png
West,45%,Left,75cm,40%,No_Lighting_Control,67.07,28.42,116.8,7.2,43.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position2_Shade_Depth3_VT0_Lighting_Control0.png
South,55%,Left,75cm,40%,No_Lighting_Control,62.91,0,122.3,6.9,49.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position2_Shade_Depth3_VT0_Lighting_Control0.png
East,55%,Left,75cm,40%,No_Lighting_Control,66.7,11.45,117.7,7.1,44.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position2_Shade_Depth3_VT0_Lighting_Control0.png
North,55%,Left,75cm,40%,No_Lighting_Control,82.83,34.32,107.7,7.8,33.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position2_Shade_Depth3_VT0_Lighting_Control0.png
West,55%,Left,75cm,40%,No_Lighting_Control,75,32.79,117.8,7.5,44.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position2_Shade_Depth3_VT0_Lighting_Control0.png
South,35%,Top,100cm,40%,No_Lighting_Control,44.85,0,119.6,6.5,47,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
East,35%,Top,100cm,40%,No_Lighting_Control,49.15,4.34,116.2,6.4,43.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
North,35%,Top,100cm,40%,No_Lighting_Control,59.28,17.55,111.6,6.7,38.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
West,35%,Top,100cm,40%,No_Lighting_Control,54.78,13.79,116.8,6.7,44,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
South,45%,Top,100cm,40%,No_Lighting_Control,52,0,121.1,6.5,48.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
East,45%,Top,100cm,40%,No_Lighting_Control,56.57,5.52,117.5,6.6,44.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
North,45%,Top,100cm,40%,No_Lighting_Control,66.33,22.59,111.8,6.7,39.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
West,45%,Top,100cm,40%,No_Lighting_Control,61.75,19.14,118,6.7,45.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
South,55%,Top,100cm,40%,No_Lighting_Control,58.57,0,122.5,6.7,49.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
East,55%,Top,100cm,40%,No_Lighting_Control,62.53,8.74,118.3,6.6,45.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
North,55%,Top,100cm,40%,No_Lighting_Control,74.97,27,111.4,6.8,38.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
West,55%,Top,100cm,40%,No_Lighting_Control,68.94,23.75,118.9,6.8,46.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
South,35%,Right,100cm,40%,No_Lighting_Control,48.54,0,119.5,6.6,46.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
East,35%,Right,100cm,40%,No_Lighting_Control,53.62,11.21,115.2,6.7,42.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
North,35%,Right,100cm,40%,No_Lighting_Control,64.4,26.05,109.5,7.4,36,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
West,35%,Right,100cm,40%,No_Lighting_Control,56.84,18.33,116.9,7,43.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
South,45%,Right,100cm,40%,No_Lighting_Control,55.45,0,121,6.7,48.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
East,45%,Right,100cm,40%,No_Lighting_Control,60.74,13.82,115.9,7,42.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
North,45%,Right,100cm,40%,No_Lighting_Control,73.14,30.39,108.6,7.5,35,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
West,45%,Right,100cm,40%,No_Lighting_Control,64.84,24.86,117.8,7.2,44.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
South,55%,Right,100cm,40%,No_Lighting_Control,61.96,0,122.3,6.9,49.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
East,55%,Right,100cm,40%,No_Lighting_Control,67.34,15.65,116.8,7.1,43.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
North,55%,Right,100cm,40%,No_Lighting_Control,83.16,33.77,108,7.7,34.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
West,55%,Right,100cm,40%,No_Lighting_Control,71.92,28.73,118.9,7.4,45.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
South,35%,Left,100cm,40%,No_Lighting_Control,48.81,0,119.5,6.6,46.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position2_Shade_Depth4_VT0_Lighting_Control0.png
East,35%,Left,100cm,40%,No_Lighting_Control,52.44,7.05,116.1,6.7,43.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position2_Shade_Depth4_VT0_Lighting_Control0.png
North,35%,Left,100cm,40%,No_Lighting_Control,64.26,26.12,109.4,7.4,36,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position2_Shade_Depth4_VT0_Lighting_Control0.png
West,35%,Left,100cm,40%,No_Lighting_Control,59.42,22.76,116,7,42.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position2_Shade_Depth4_VT0_Lighting_Control0.png
South,45%,Left,100cm,40%,No_Lighting_Control,56.4,0,121,6.7,48.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position2_Shade_Depth4_VT0_Lighting_Control0.png
East,45%,Left,100cm,40%,No_Lighting_Control,59.55,9.32,117.1,6.9,44.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position2_Shade_Depth4_VT0_Lighting_Control0.png
North,45%,Left,100cm,40%,No_Lighting_Control,72.56,30.62,108.5,7.5,34.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position2_Shade_Depth4_VT0_Lighting_Control0.png
West,45%,Left,100cm,40%,No_Lighting_Control,67.17,28.32,116.8,7.2,43.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position2_Shade_Depth4_VT0_Lighting_Control0.png
South,55%,Left,100cm,40%,No_Lighting_Control,62.43,0,122.3,6.9,49.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position2_Shade_Depth4_VT0_Lighting_Control0.png
East,55%,Left,100cm,40%,No_Lighting_Control,65.85,10.81,117.9,7.1,44.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position2_Shade_Depth4_VT0_Lighting_Control0.png
North,55%,Left,100cm,40%,No_Lighting_Control,82.22,33.91,107.9,7.8,34.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position2_Shade_Depth4_VT0_Lighting_Control0.png
West,55%,Left,100cm,40%,No_Lighting_Control,74.46,32.72,117.8,7.5,44.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position2_Shade_Depth4_VT0_Lighting_Control0.png
South,35%,Top,0cm,50%,No_Lighting_Control,50.51,0,119,6.9,46,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position0_Shade_Depth0_VT1_Lighting_Control0.png
East,35%,Top,0cm,50%,No_Lighting_Control,54.57,11.21,114.2,7,41.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position0_Shade_Depth0_VT1_Lighting_Control0.png
North,35%,Top,0cm,50%,No_Lighting_Control,66.02,28.12,106,7.8,32.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position0_Shade_Depth0_VT1_Lighting_Control0.png
West,35%,Top,0cm,50%,No_Lighting_Control,59.89,23.17,115.1,7.4,41.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position0_Shade_Depth0_VT1_Lighting_Control0.png
South,45%,Top,0cm,50%,No_Lighting_Control,57.18,0,120.1,6.8,47.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position0_Shade_Depth0_VT1_Lighting_Control0.png
East,45%,Top,0cm,50%,No_Lighting_Control,61.86,13.82,114.5,7.3,41.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position0_Shade_Depth0_VT1_Lighting_Control0.png
North,45%,Top,0cm,50%,No_Lighting_Control,74.66,31.91,104.7,8.1,30.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position0_Shade_Depth0_VT1_Lighting_Control0.png
West,45%,Top,0cm,50%,No_Lighting_Control,67.55,28.62,115.4,7.7,41.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position0_Shade_Depth0_VT1_Lighting_Control0.png
South,55%,Top,0cm,50%,No_Lighting_Control,63.65,0,121.4,7,48.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position0_Shade_Depth0_VT1_Lighting_Control0.png
East,55%,Top,0cm,50%,No_Lighting_Control,68.8,15.65,115,7.7,41.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position0_Shade_Depth0_VT1_Lighting_Control0.png
North,55%,Top,0cm,50%,No_Lighting_Control,85.64,35.37,103.2,8.4,28.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position0_Shade_Depth0_VT1_Lighting_Control0.png
West,55%,Top,0cm,50%,No_Lighting_Control,75,32.99,116.2,8.1,42,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position0_Shade_Depth0_VT1_Lighting_Control0.png
South,35%,Right,0cm,50%,No_Lighting_Control,50.78,0,119,6.9,46,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position1_Shade_Depth0_VT1_Lighting_Control0.png
East,35%,Right,0cm,50%,No_Lighting_Control,54.78,11.21,114.2,7,41.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position1_Shade_Depth0_VT1_Lighting_Control0.png
North,35%,Right,0cm,50%,No_Lighting_Control,66.23,28.12,106,7.8,32.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position1_Shade_Depth0_VT1_Lighting_Control0.png
West,35%,Right,0cm,50%,No_Lighting_Control,59.99,23.17,115.1,7.4,41.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position1_Shade_Depth0_VT1_Lighting_Control0.png
South,45%,Right,0cm,50%,No_Lighting_Control,57.11,0,120.1,6.8,47.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position1_Shade_Depth0_VT1_Lighting_Control0.png
East,45%,Right,0cm,50%,No_Lighting_Control,61.92,13.82,114.5,7.3,41.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position1_Shade_Depth0_VT1_Lighting_Control0.png
North,45%,Right,0cm,50%,No_Lighting_Control,74.59,31.91,104.7,8.1,30.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position1_Shade_Depth0_VT1_Lighting_Control0.png
West,45%,Right,0cm,50%,No_Lighting_Control,67.51,28.62,115.4,7.7,41.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position1_Shade_Depth0_VT1_Lighting_Control0.png
South,55%,Right,0cm,50%,No_Lighting_Control,63.58,0,121.4,7,48.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position1_Shade_Depth0_VT1_Lighting_Control0.png
East,55%,Right,0cm,50%,No_Lighting_Control,68.22,15.65,115,7.7,41.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position1_Shade_Depth0_VT1_Lighting_Control0.png
North,55%,Right,0cm,50%,No_Lighting_Control,85.16,35.37,103.2,8.4,28.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position1_Shade_Depth0_VT1_Lighting_Control0.png
West,55%,Right,0cm,50%,No_Lighting_Control,75.37,32.99,116.2,8.1,42,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position1_Shade_Depth0_VT1_Lighting_Control0.png
