in:Orientation,in:WWR,in:Shade_Position,in:Shade_Depth,in:VT,in:Lighting_Control,out:sDA_[%],out:ASE_[%],out:Total_EUI_[kWh/m²],out:Cooling_[kWh/m²],out:Heating_[kWh/m²],img
West,50%,Left,50cm,70%,Daylight_Control,70.66,30.76,98.7,6.8,47.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position2_Shade_Depth2_VT3_Lighting_Control1.png
South,60%,Left,50cm,70%,Daylight_Control,66.19,0,106.9,5.6,56.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR3_Shade_Position2_Shade_Depth2_VT3_Lighting_Control1.png
East,60%,Left,50cm,70%,Daylight_Control,70.56,13.08,98.5,6.9,47.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR3_Shade_Position2_Shade_Depth2_VT3_Lighting_Control1.png
North,60%,Left,50cm,70%,Daylight_Control,91.77,36.42,79.4,7.5,28.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR3_Shade_Position2_Shade_Depth2_VT3_Lighting_Control1.png
West,60%,Left,50cm,70%,Daylight_Control,78.46,34.79,98.5,7.4,47.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR3_Shade_Position2_Shade_Depth2_VT3_Lighting_Control1.png
South,30%,Top,100cm,70%,Daylight_Control,40.14,0,106.4,4.9,52.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position0_Shade_Depth4_VT3_Lighting_Control1.png
East,30%,Top,100cm,70%,Daylight_Control,44.58,3.62,102.5,5.9,48.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position0_Shade_Depth4_VT3_Lighting_Control1.png
North,30%,Top,100cm,70%,Daylight_Control,54.98,14.87,94.4,5.1,42.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position0_Shade_Depth4_VT3_Lighting_Control1.png
West,30%,Top,100cm,70%,Daylight_Control,50.14,11.11,102,5.2,49,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position0_Shade_Depth4_VT3_Lighting_Control1.png
South,40%,Top,100cm,70%,Daylight_Control,48.58,0,107,5,54.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position0_Shade_Depth4_VT3_Lighting_Control1.png
