in:Orientation,in:WWR,in:Shade Position,in:Shade Depth,in:VT,in:Lighting Control,out:sDA [%],out:ASE [%],out:Total EUI [kWh/m²],out:Cooling [kWh/m²],out:Heating [kWh/m²],img
East,30%,Top,50cm,40%,No Lighting Control,47.22,6.84,115.3,6.4,42.8,Orientation1_WWR0_Shade Position0_Shade Depth1_VT0_Lighting Control0.png
North,30%,Top,50cm,40%,No Lighting Control,57.93,19.38,110.2,6.9,37.2,Orientation2_WWR0_Shade Position0_Shade Depth1_VT0_Lighting Control0.png
West,30%,Top,50cm,40%,No Lighting Control,52.27,14.8,116,6.8,43.1,Orientation3_WWR0_Shade Position0_Shade Depth1_VT0_Lighting Control0.png
South,40%,Top,50cm,40%,No Lighting Control,51.36,0,120.3,6.6,47.6,Orientation0_WWR1_Shade Position0_Shade Depth1_VT0_Lighting Control0.png
East,40%,Top,50cm,40%,No Lighting Control,55.32,9.42,116.2,6.6,43.6,Orientation1_WWR1_Shade Position0_Shade Depth1_VT0_Lighting Control0.png
North,40%,Top,50cm,40%,No Lighting Control,65.85,25.81,109.9,7,36.8,Orientation2_WWR1_Shade Position0_Shade Depth1_VT0_Lighting Control0.png
West,40%,Top,50cm,40%,No Lighting Control,60.94,21.48,116.9,6.9,44,Orientation3_WWR1_Shade Position0_Shade Depth1_VT0_Lighting Control0.png
South,50%,Top,50cm,40%,No Lighting Control,57.45,0,121.8,6.7,49.1,Orientation0_WWR2_Shade Position0_Shade Depth1_VT0_Lighting Control0.png
East,50%,Top,50cm,40%,No Lighting Control,62.09,11.01,117.2,6.7,44.5,Orientation1_WWR2_Shade Position0_Shade Depth1_VT0_Lighting Control0.png
North,50%,Top,50cm,40%,No Lighting Control,73.51,29.51,109.5,7.1,36.3,Orientation2_WWR2_Shade Position0_Shade Depth1_VT0_Lighting Control0.png
West,50%,Top,50cm,40%,No Lighting Control,68.06,26.25,118,7,45,Orientation3_WWR2_Shade Position0_Shade Depth1_VT0_Lighting Control0.png
South,60%,Top,50cm,40%,No Lighting Control,64.06,0,122.8,6.6,50.2,Orientation0_WWR3_Shade Position0_Shade Depth1_VT0_Lighting Control0.png
East,60%,Top,50cm,40%,No Lighting Control,68.77,13.04,117.9,6.9,45,Orientation1_WWR3_Shade Position0_Shade Depth1_VT0_Lighting Control0.png
