in:Orientation,in:WWR,in:Shade Position,in:Shade Depth,in:VT,in:Lighting Control,out:sDA [%],out:ASE [%],out:Total EUI [kWh/m²],out:Cooling [kWh/m²],out:Heating [kWh/m²],img
West,60%,Left,0cm,60%,No Lighting Control,79.4,34.89,114.9,8.8,40.1,Orientation3_WWR3_Shade Position2_Shade Depth0_VT2_Lighting Control0.png
South,30%,Top,50cm,60%,No Lighting Control,42.85,0,117.9,6.8,45.1,Orientation0_WWR0_Shade Position0_Shade Depth1_VT2_Lighting Control0.png
East,30%,Top,50cm,60%,No Lighting Control,46.75,6.84,113.9,6.8,41,Orientation1_WWR0_Shade Position0_Shade Depth1_VT2_Lighting Control0.png
North,30%,Top,50cm,60%,No Lighting Control,57.89,19.38,106.7,7.3,33.3,Orientation2_WWR0_Shade Position0_Shade Depth1_VT2_Lighting Control0.png
West,30%,Top,50cm,60%,No Lighting Control,52.2,14.8,114.6,7.1,41.4,Orientation3_WWR0_Shade Position0_Shade Depth1_VT2_Lighting Control0.png
South,40%,Top,50cm,60%,No Lighting Control,51.19,0,119.2,6.7,46.4,Orientation0_WWR1_Shade Position0_Shade Depth1_VT2_Lighting Control0.png
East,40%,Top,50cm,60%,No Lighting Control,55.66,9.42,114.1,7,41,Orientation1_WWR1_Shade Position0_Shade Depth1_VT2_Lighting Control0.png
North,40%,Top,50cm,60%,No Lighting Control,66.23,25.81,105.5,7.7,31.7,Orientation2_WWR1_Shade Position0_Shade Depth1_VT2_Lighting Control0.png
West,40%,Top,50cm,60%,No Lighting Control,60.7,21.48,114.9,7.3,41.5,Orientation3_WWR1_Shade Position0_Shade Depth1_VT2_Lighting Control0.png
South,50%,Top,50cm,60%,No Lighting Control,57.69,0,120.4,6.9,47.5,Orientation0_WWR2_Shade Position0_Shade Depth1_VT2_Lighting Control0.png
East,50%,Top,50cm,60%,No Lighting Control,61.69,11.01,114.6,7.3,41.2,Orientation1_WWR2_Shade Position0_Shade Depth1_VT2_Lighting Control0.png
North,50%,Top,50cm,60%,No Lighting Control,73.41,29.51,103.7,7.5,30.1,Orientation2_WWR2_Shade Position0_Shade Depth1_VT2_Lighting Control0.png
West,50%,Top,50cm,60%,No Lighting Control,67.34,26.25,115.5,7.7,41.8,Orientation3_WWR2_Shade Position0_Shade Depth1_VT2_Lighting Control0.png
South,60%,Top,50cm,60%,No Lighting Control,64.16,0,121.3,7.1,48.2,Orientation0_WWR3_Shade Position0_Shade Depth1_VT2_Lighting Control0.png
East,60%,Top,50cm,60%,No Lighting Control,68.73,13.04,114.9,7.8,41,Orientation1_WWR3_Shade Position0_Shade Depth1_VT2_Lighting Control0.png
North,60%,Top,50cm,60%,No Lighting Control,85.81,33.54,101.6,8.2,27.3,Orientation2_WWR3_Shade Position0_Shade Depth1_VT2_Lighting Control0.png
West,60%,Top,50cm,60%,No Lighting Control,75.81,30.05,115.9,8.1,41.8,Orientation3_WWR3_Shade Position0_Shade Depth1_VT2_Lighting Control0.png
South,30%,Right,50cm,60%,No Lighting Control,45.29,0,117.5,6.6,44.8,Orientation0_WWR0_Shade Position1_Shade Depth1_VT2_Lighting Control0.png
East,30%,Right,50cm,60%,No Lighting Control,49.7,9.89,113.1,7.1,40,Orientation1_WWR0_Shade Position1_Shade Depth1_VT2_Lighting Control0.png
North,30%,Right,50cm,60%,No Lighting Control,60.43,23.44,105.5,7.7,31.7,Orientation2_WWR0_Shade Position1_Shade Depth1_VT2_Lighting Control0.png
West,30%,Right,50cm,60%,No Lighting Control,53.76,16.06,114.8,7.4,41.3,Orientation3_WWR0_Shade Position1_Shade Depth1_VT2_Lighting Control0.png
South,40%,Right,50cm,60%,No Lighting Control,53.25,0,119,6.9,46,Orientation0_WWR1_Shade Position1_Shade Depth1_VT2_Lighting Control0.png
East,40%,Right,50cm,60%,No Lighting Control,57.55,12.53,113.3,7.5,39.8,Orientation1_WWR1_Shade Position1_Shade Depth1_VT2_Lighting Control0.png
North,40%,Right,50cm,60%,No Lighting Control,69.78,29.47,103.5,8.2,29.3,Orientation2_WWR1_Shade Position1_Shade Depth1_VT2_Lighting Control0.png
West,40%,Right,50cm,60%,No Lighting Control,62.26,23.41,114.9,7.8,41,Orientation3_WWR1_Shade Position1_Shade Depth1_VT2_Lighting Control0.png
South,50%,Right,50cm,60%,No Lighting Control,59.45,0,120.1,7.1,47,Orientation0_WWR2_Shade Position1_Shade Depth1_VT2_Lighting Control0.png
East,50%,Right,50cm,60%,No Lighting Control,64.19,14.84,113.5,8,39.4,Orientation1_WWR2_Shade Position1_Shade Depth1_VT2_Lighting Control0.png
North,50%,Right,50cm,60%,No Lighting Control,77.88,32.69,101.1,8.6,26.5,Orientation2_WWR2_Shade Position1_Shade Depth1_VT2_Lighting Control0.png
West,50%,Right,50cm,60%,No Lighting Control,69.21,28.39,115.4,8.3,41,Orientation3_WWR2_Shade Position1_Shade Depth1_VT2_Lighting Control0.png
South,60%,Right,50cm,60%,No Lighting Control,65.85,0,121.1,7.3,47.7,Orientation0_WWR3_Shade Position1_Shade Depth1_VT2_Lighting Control0.png
East,60%,Right,50cm,60%,No Lighting Control,71.21,16.33,113.8,8.4,39.4,Orientation1_WWR3_Shade Position1_Shade Depth1_VT2_Lighting Control0.png
North,60%,Right,50cm,60%,No Lighting Control,91.46,36.42,99.5,9,24.4,Orientation2_WWR3_Shade Position1_Shade Depth1_VT2_Lighting Control0.png
West,60%,Right,50cm,60%,No Lighting Control,77.41,32.11,115.9,8.7,41.2,Orientation3_WWR3_Shade Position1_Shade Depth1_VT2_Lighting Control0.png
South,30%,Left,50cm,60%,No Lighting Control,45.53,0,117.8,6.9,44.8,Orientation0_WWR0_Shade Position2_Shade Depth1_VT2_Lighting Control0.png
East,30%,Left,50cm,60%,No Lighting Control,48.92,6.88,113.9,7,40.8,Orientation1_WWR0_Shade Position2_Shade Depth1_VT2_Lighting Control0.png
North,30%,Left,50cm,60%,No Lighting Control,59.89,23.27,105.4,7.7,31.6,Orientation2_WWR0_Shade Position2_Shade Depth1_VT2_Lighting Control0.png
West,30%,Left,50cm,60%,No Lighting Control,54.61,18.94,114.1,7.4,40.6,Orientation3_WWR0_Shade Position2_Shade Depth1_VT2_Lighting Control0.png
South,40%,Left,50cm,60%,No Lighting Control,53.22,0,119,6.9,46,Orientation0_WWR1_Shade Position2_Shade Depth1_VT2_Lighting Control0.png
East,40%,Left,50cm,60%,No Lighting Control,57.01,9.59,113.9,7.4,40.5,Orientation1_WWR1_Shade Position2_Shade Depth1_VT2_Lighting Control0.png
North,40%,Left,50cm,60%,No Lighting Control,69.38,29.34,103.4,8.2,29.2,Orientation2_WWR1_Shade Position2_Shade Depth1_VT2_Lighting Control0.png
West,40%,Left,50cm,60%,No Lighting Control,63.35,25.91,114.4,7.9,40.4,Orientation3_WWR1_Shade Position2_Shade Depth1_VT2_Lighting Control0.png
South,50%,Left,50cm,60%,No Lighting Control,59.86,0,120.1,7.1,47,Orientation0_WWR2_Shade Position2_Shade Depth1_VT2_Lighting Control0.png
East,50%,Left,50cm,60%,No Lighting Control,63.99,11.69,114.3,7.9,40.3,Orientation1_WWR2_Shade Position2_Shade Depth1_VT2_Lighting Control0.png
North,50%,Left,50cm,60%,No Lighting Control,77.24,32.72,101.1,8.6,26.4,Orientation2_WWR2_Shade Position2_Shade Depth1_VT2_Lighting Control0.png
West,50%,Left,50cm,60%,No Lighting Control,70.73,30.76,114.6,8.4,40.2,Orientation3_WWR2_Shade Position2_Shade Depth1_VT2_Lighting Control0.png
South,60%,Left,50cm,60%,No Lighting Control,66.12,0,121.1,7.3,47.7,Orientation0_WWR3_Shade Position2_Shade Depth1_VT2_Lighting Control0.png
East,60%,Left,50cm,60%,No Lighting Control,70.6,13.08,114.8,8.3,40.4,Orientation1_WWR3_Shade Position2_Shade Depth1_VT2_Lighting Control0.png
North,60%,Left,50cm,60%,No Lighting Control,92.24,36.42,99.4,9,24.3,Orientation2_WWR3_Shade Position2_Shade Depth1_VT2_Lighting Control0.png
West,60%,Left,50cm,60%,No Lighting Control,79.57,34.79,115,8.7,40.2,Orientation3_WWR3_Shade Position2_Shade Depth1_VT2_Lighting Control0.png
South,30%,Top,100cm,60%,No Lighting Control,40.51,0,118,6.7,45.2,Orientation0_WWR0_Shade Position0_Shade Depth2_VT2_Lighting Control0.png
East,30%,Top,100cm,60%,No Lighting Control,44.85,3.62,114.4,6.8,41.6,Orientation1_WWR0_Shade Position0_Shade Depth2_VT2_Lighting Control0.png
North,30%,Top,100cm,60%,No Lighting Control,55.18,14.87,108.6,7,35.5,Orientation2_WWR0_Shade Position0_Shade Depth2_VT2_Lighting Control0.png
West,30%,Top,100cm,60%,No Lighting Control,50.3,11.11,115,6.9,42,Orientation3_WWR0_Shade Position0_Shade Depth2_VT2_Lighting Control0.png
South,40%,Top,100cm,60%,No Lighting Control,48.95,0,119.7,7,46.6,Orientation0_WWR1_Shade Position0_Shade Depth2_VT2_Lighting Control0.png
East,40%,Top,100cm,60%,No Lighting Control,53.05,4.95,114.9,6.9,42,Orientation1_WWR1_Shade Position0_Shade Depth2_VT2_Lighting Control0.png
North,40%,Top,100cm,60%,No Lighting Control,63.14,20.56,107.9,7.1,34.8,Orientation2_WWR1_Shade Position0_Shade Depth2_VT2_Lighting Control0.png
West,40%,Top,100cm,60%,No Lighting Control,58.16,16.63,115.5,7.1,42.4,Orientation3_WWR1_Shade Position0_Shade Depth2_VT2_Lighting Control0.png
South,50%,Top,100cm,60%,No Lighting Control,54.88,0,120.6,6.7,47.8,Orientation0_WWR2_Shade Position0_Shade Depth2_VT2_Lighting Control0.png
East,50%,Top,100cm,60%,No Lighting Control,59.55,6.44,115.5,7,42.4,Orientation1_WWR2_Shade Position0_Shade Depth2_VT2_Lighting Control0.png
North,50%,Top,100cm,60%,No Lighting Control,69.99,24.53,107.1,7.2,33.8,Orientation2_WWR2_Shade Position0_Shade Depth2_VT2_Lighting Control0.png
West,50%,Top,100cm,60%,No Lighting Control,65.11,21.48,116.2,7.2,42.9,Orientation3_WWR2_Shade Position0_Shade Depth2_VT2_Lighting Control0.png
South,60%,Top,100cm,60%,No Lighting Control,61.86,0,121.6,6.9,48.6,Orientation0_WWR3_Shade Position0_Shade Depth2_VT2_Lighting Control0.png
East,60%,Top,100cm,60%,No Lighting Control,65.65,9.99,115.8,7.3,42.4,Orientation1_WWR3_Shade Position0_Shade Depth2_VT2_Lighting Control0.png
North,60%,Top,100cm,60%,No Lighting Control,80.89,29.07,104.8,7.3,31.4,Orientation2_WWR3_Shade Position0_Shade Depth2_VT2_Lighting Control0.png
West,60%,Top,100cm,60%,No Lighting Control,72.97,25.81,116.7,7.6,43.1,Orientation3_WWR3_Shade Position0_Shade Depth2_VT2_Lighting Control0.png
South,30%,Right,100cm,60%,No Lighting Control,44.34,0,117.6,6.6,44.9,Orientation0_WWR0_Shade Position1_Shade Depth2_VT2_Lighting Control0.png
East,30%,Right,100cm,60%,No Lighting Control,49.29,9.89,113.2,7,40.1,Orientation1_WWR0_Shade Position1_Shade Depth2_VT2_Lighting Control0.png
North,30%,Right,100cm,60%,No Lighting Control,59.79,22.43,106.1,7.7,32.3,Orientation2_WWR0_Shade Position1_Shade Depth2_VT2_Lighting Control0.png
West,30%,Right,100cm,60%,No Lighting Control,52.3,14.46,115.3,7.3,41.9,Orientation3_WWR0_Shade Position1_Shade Depth2_VT2_Lighting Control0.png
South,40%,Right,100cm,60%,No Lighting Control,52.03,0,119,6.9,46.1,Orientation0_WWR1_Shade Position1_Shade Depth2_VT2_Lighting Control0.png
East,40%,Right,100cm,60%,No Lighting Control,57.25,12.53,113.3,7.4,39.9,Orientation1_WWR1_Shade Position1_Shade Depth2_VT2_Lighting Control0.png
North,40%,Right,100cm,60%,No Lighting Control,68.83,28.59,104.1,8.1,29.9,Orientation2_WWR1_Shade Position1_Shade Depth2_VT2_Lighting Control0.png
West,40%,Right,100cm,60%,No Lighting Control,61.18,21.92,115.4,7.7,41.6,Orientation3_WWR1_Shade Position1_Shade Depth2_VT2_Lighting Control0.png
South,50%,Right,100cm,60%,No Lighting Control,58.6,0,120.2,7.1,47.1,Orientation0_WWR2_Shade Position1_Shade Depth2_VT2_Lighting Control0.png
East,50%,Right,100cm,60%,No Lighting Control,64.02,14.84,113.5,8,39.5,Orientation1_WWR2_Shade Position1_Shade Depth2_VT2_Lighting Control0.png
North,50%,Right,100cm,60%,No Lighting Control,76.83,32.08,101.7,8.6,27.1,Orientation2_WWR2_Shade Position1_Shade Depth2_VT2_Lighting Control0.png
West,50%,Right,100cm,60%,No Lighting Control,67.78,27.2,115.9,8.2,41.6,Orientation3_WWR2_Shade Position1_Shade Depth2_VT2_Lighting Control0.png
South,60%,Right,100cm,60%,No Lighting Control,64.84,0,121.1,7.2,47.8,Orientation0_WWR3_Shade Position1_Shade Depth2_VT2_Lighting Control0.png
East,60%,Right,100cm,60%,No Lighting Control,71.17,16.33,113.8,8.3,39.4,Orientation1_WWR3_Shade Position1_Shade Depth2_VT2_Lighting Control0.png
North,60%,Right,100cm,60%,No Lighting Control,90.48,35.7,100.2,8.9,25.2,Orientation2_WWR3_Shade Position1_Shade Depth2_VT2_Lighting Control0.png
West,60%,Right,100cm,60%,No Lighting Control,76.39,30.28,116.8,8.6,42.1,Orientation3_WWR3_Shade Position1_Shade Depth2_VT2_Lighting Control0.png
South,30%,Left,100cm,60%,No Lighting Control,45.02,0,117.8,6.9,44.9,Orientation0_WWR0_Shade Position2_Shade Depth2_VT2_Lighting Control0.png
East,30%,Left,100cm,60%,No Lighting Control,47.93,5.32,114.5,7,41.4,Orientation1_WWR0_Shade Position2_Shade Depth2_VT2_Lighting Control0.png
North,30%,Left,100cm,60%,No Lighting Control,59.62,21.88,106,7.7,32.2,Orientation2_WWR0_Shade Position2_Shade Depth2_VT2_Lighting Control0.png
West,30%,Left,100cm,60%,No Lighting Control,54.57,18.8,114.1,7.4,40.6,Orientation3_WWR0_Shade Position2_Shade Depth2_VT2_Lighting Control0.png
South,40%,Left,100cm,60%,No Lighting Control,52.81,0,119.3,7.2,46.1,Orientation0_WWR1_Shade Position2_Shade Depth2_VT2_Lighting Control0.png
East,40%,Left,100cm,60%,No Lighting Control,55.93,8.37,114.5,7.4,41.1,Orientation1_WWR1_Shade Position2_Shade Depth2_VT2_Lighting Control0.png
North,40%,Left,100cm,60%,No Lighting Control,68.26,28.66,104,8.1,29.8,Orientation2_WWR1_Shade Position2_Shade Depth2_VT2_Lighting Control0.png
West,40%,Left,100cm,60%,No Lighting Control,62.94,25.85,114.3,7.8,40.5,Orientation3_WWR1_Shade Position2_Shade Depth2_VT2_Lighting Control0.png
South,50%,Left,100cm,60%,No Lighting Control,59.08,0,120.2,7.1,47.1,Orientation0_WWR2_Shade Position2_Shade Depth2_VT2_Lighting Control0.png
East,50%,Left,100cm,60%,No Lighting Control,62.84,10.23,114.9,7.9,41,Orientation1_WWR2_Shade Position2_Shade Depth2_VT2_Lighting Control0.png
North,50%,Left,100cm,60%,No Lighting Control,76.52,32.22,101.6,8.6,27,Orientation2_WWR2_Shade Position2_Shade Depth2_VT2_Lighting Control0.png
West,50%,Left,100cm,60%,No Lighting Control,70.22,30.56,114.6,8.3,40.3,Orientation3_WWR2_Shade Position2_Shade Depth2_VT2_Lighting Control0.png
South,60%,Left,100cm,60%,No Lighting Control,65.31,0,121.2,7.2,47.8,Orientation0_WWR3_Shade Position2_Shade Depth2_VT2_Lighting Control0.png
East,60%,Left,100cm,60%,No Lighting Control,69.78,11.25,115.7,8.2,41.4,Orientation1_WWR3_Shade Position2_Shade Depth2_VT2_Lighting Control0.png
North,60%,Left,100cm,60%,No Lighting Control,89.77,35.7,100.1,8.9,25.1,Orientation2_WWR3_Shade Position2_Shade Depth2_VT2_Lighting Control0.png
West,60%,Left,100cm,60%,No Lighting Control,78.66,34.69,115,8.7,40.3,Orientation3_WWR3_Shade Position2_Shade Depth2_VT2_Lighting Control0.png
South,30%,Top,0cm,70%,No Lighting Control,46.58,0,117.4,7.2,44.1,Orientation0_WWR0_Shade Position0_Shade Depth0_VT3_Lighting Control0.png
East,30%,Top,0cm,70%,No Lighting Control,50.68,9.89,112.1,7.3,38.7,Orientation1_WWR0_Shade Position0_Shade Depth0_VT3_Lighting Control0.png
North,30%,Top,0cm,70%,No Lighting Control,61.79,24.8,102.2,8.2,28,Orientation2_WWR0_Shade Position0_Shade Depth0_VT3_Lighting Control0.png
West,30%,Top,0cm,70%,No Lighting Control,55.18,19.21,113,7.8,39.2,Orientation3_WWR0_Shade Position0_Shade Depth0_VT3_Lighting Control0.png
South,40%,Top,0cm,70%,No Lighting Control,54.1,0,118.3,7.1,45.1,Orientation0_WWR1_Shade Position0_Shade Depth0_VT3_Lighting Control0.png
East,40%,Top,0cm,70%,No Lighting Control,58.2,12.53,112.1,7.9,38.2,Orientation1_WWR1_Shade Position0_Shade Depth0_VT3_Lighting Control0.png
North,40%,Top,0cm,70%,No Lighting Control,70.16,30.49,99.6,8.7,24.9,Orientation2_WWR1_Shade Position0_Shade Depth0_VT3_Lighting Control0.png
West,40%,Top,0cm,70%,No Lighting Control,63.86,26.02,113.3,8.3,38.9,Orientation3_WWR1_Shade Position0_Shade Depth0_VT3_Lighting Control0.png
South,50%,Top,0cm,70%,No Lighting Control,60.23,0,119.5,7.5,45.9,Orientation0_WWR2_Shade Position0_Shade Depth0_VT3_Lighting Control0.png
East,50%,Top,0cm,70%,No Lighting Control,64.97,14.84,112.2,8.5,37.7,Orientation1_WWR2_Shade Position0_Shade Depth0_VT3_Lighting Control0.png
North,50%,Top,0cm,70%,No Lighting Control,78.96,33.47,97.5,9.3,22.1,Orientation2_WWR2_Shade Position0_Shade Depth0_VT3_Lighting Control0.png
West,50%,Top,0cm,70%,No Lighting Control,71.27,30.96,113.5,8.9,38.6,Orientation3_WWR2_Shade Position0_Shade Depth0_VT3_Lighting Control0.png
South,60%,Top,0cm,70%,No Lighting Control,66.9,0,120.6,7.8,46.7,Orientation0_WWR3_Shade Position0_Shade Depth0_VT3_Lighting Control0.png
East,60%,Top,0cm,70%,No Lighting Control,71.95,16.33,112.4,9.1,37.3,Orientation1_WWR3_Shade Position0_Shade Depth0_VT3_Lighting Control0.png
North,60%,Top,0cm,70%,No Lighting Control,93.06,37.3,95.5,9.9,19.6,Orientation2_WWR3_Shade Position0_Shade Depth0_VT3_Lighting Control0.png
West,60%,Top,0cm,70%,No Lighting Control,79.67,34.89,113.7,9.3,38.3,Orientation3_WWR3_Shade Position0_Shade Depth0_VT3_Lighting Control0.png
South,30%,Right,0cm,70%,No Lighting Control,46.34,0,117.4,7.2,44.1,Orientation0_WWR0_Shade Position1_Shade Depth0_VT3_Lighting Control0.png
East,30%,Right,0cm,70%,No Lighting Control,50.34,9.89,112.1,7.3,38.7,Orientation1_WWR0_Shade Position1_Shade Depth0_VT3_Lighting Control0.png
North,30%,Right,0cm,70%,No Lighting Control,61.52,24.8,102.2,8.2,28,Orientation2_WWR0_Shade Position1_Shade Depth0_VT3_Lighting Control0.png
West,30%,Right,0cm,70%,No Lighting Control,55.62,19.21,113,7.8,39.2,Orientation3_WWR0_Shade Position1_Shade Depth0_VT3_Lighting Control0.png
South,40%,Right,0cm,70%,No Lighting Control,54.4,0,118.3,7.1,45.1,Orientation0_WWR1_Shade Position1_Shade Depth0_VT3_Lighting Control0.png
East,40%,Right,0cm,70%,No Lighting Control,58.3,12.53,112.1,7.9,38.2,Orientation1_WWR1_Shade Position1_Shade Depth0_VT3_Lighting Control0.png
North,40%,Right,0cm,70%,No Lighting Control,70.6,30.49,99.6,8.7,24.9,Orientation2_WWR1_Shade Position1_Shade Depth0_VT3_Lighting Control0.png
West,40%,Right,0cm,70%,No Lighting Control,63.75,26.02,113.3,8.3,38.9,Orientation3_WWR1_Shade Position1_Shade Depth0_VT3_Lighting Control0.png
South,50%,Right,0cm,70%,No Lighting Control,60.13,0,119.5,7.5,45.9,Orientation0_WWR2_Shade Position1_Shade Depth0_VT3_Lighting Control0.png
East,50%,Right,0cm,70%,No Lighting Control,64.94,14.84,112.2,8.5,37.7,Orientation1_WWR2_Shade Position1_Shade Depth0_VT3_Lighting Control0.png
North,50%,Right,0cm,70%,No Lighting Control,78.05,33.47,97.5,9.3,22.1,Orientation2_WWR2_Shade Position1_Shade Depth0_VT3_Lighting Control0.png
West,50%,Right,0cm,70%,No Lighting Control,71.07,30.96,113.5,8.9,38.6,Orientation3_WWR2_Shade Position1_Shade Depth0_VT3_Lighting Control0.png
South,60%,Right,0cm,70%,No Lighting Control,67.34,0,120.6,7.8,46.7,Orientation0_WWR3_Shade Position1_Shade Depth0_VT3_Lighting Control0.png
East,60%,Right,0cm,70%,No Lighting Control,71.88,16.33,112.4,9.1,37.3,Orientation1_WWR3_Shade Position1_Shade Depth0_VT3_Lighting Control0.png
North,60%,Right,0cm,70%,No Lighting Control,93.67,37.3,95.5,9.9,19.6,Orientation2_WWR3_Shade Position1_Shade Depth0_VT3_Lighting Control0.png
West,60%,Right,0cm,70%,No Lighting Control,79.37,34.89,113.7,9.3,38.3,Orientation3_WWR3_Shade Position1_Shade Depth0_VT3_Lighting Control0.png
South,30%,Left,0cm,70%,No Lighting Control,46.34,0,117.4,7.2,44.1,Orientation0_WWR0_Shade Position2_Shade Depth0_VT3_Lighting Control0.png
East,30%,Left,0cm,70%,No Lighting Control,50.44,9.89,112.1,7.3,38.7,Orientation1_WWR0_Shade Position2_Shade Depth0_VT3_Lighting Control0.png
North,30%,Left,0cm,70%,No Lighting Control,61.69,24.8,102.2,8.2,28,Orientation2_WWR0_Shade Position2_Shade Depth0_VT3_Lighting Control0.png
West,30%,Left,0cm,70%,No Lighting Control,55.08,19.21,113,7.8,39.2,Orientation3_WWR0_Shade Position2_Shade Depth0_VT3_Lighting Control0.png
South,40%,Left,0cm,70%,No Lighting Control,54.03,0,118.3,7.1,45.1,Orientation0_WWR1_Shade Position2_Shade Depth0_VT3_Lighting Control0.png
East,40%,Left,0cm,70%,No Lighting Control,58.2,12.53,112.1,7.9,38.2,Orientation1_WWR1_Shade Position2_Shade Depth0_VT3_Lighting Control0.png
North,40%,Left,0cm,70%,No Lighting Control,69.82,30.49,99.6,8.7,24.9,Orientation2_WWR1_Shade Position2_Shade Depth0_VT3_Lighting Control0.png
West,40%,Left,0cm,70%,No Lighting Control,63.75,26.02,113.3,8.3,38.9,Orientation3_WWR1_Shade Position2_Shade Depth0_VT3_Lighting Control0.png
South,50%,Left,0cm,70%,No Lighting Control,60.5,0,119.5,7.5,45.9,Orientation0_WWR2_Shade Position2_Shade Depth0_VT3_Lighting Control0.png
East,50%,Left,0cm,70%,No Lighting Control,64.67,14.84,112.2,8.5,37.7,Orientation1_WWR2_Shade Position2_Shade Depth0_VT3_Lighting Control0.png
North,50%,Left,0cm,70%,No Lighting Control,78.59,33.47,97.5,9.3,22.1,Orientation2_WWR2_Shade Position2_Shade Depth0_VT3_Lighting Control0.png
West,50%,Left,0cm,70%,No Lighting Control,70.94,30.96,113.5,8.9,38.6,Orientation3_WWR2_Shade Position2_Shade Depth0_VT3_Lighting Control0.png
South,60%,Left,0cm,70%,No Lighting Control,67.07,0,120.6,7.8,46.7,Orientation0_WWR3_Shade Position2_Shade Depth0_VT3_Lighting Control0.png
East,60%,Left,0cm,70%,No Lighting Control,71.78,16.33,112.4,9.1,37.3,Orientation1_WWR3_Shade Position2_Shade Depth0_VT3_Lighting Control0.png
North,60%,Left,0cm,70%,No Lighting Control,93.6,37.3,95.5,9.9,19.6,Orientation2_WWR3_Shade Position2_Shade Depth0_VT3_Lighting Control0.png
West,60%,Left,0cm,70%,No Lighting Control,79.2,34.89,113.7,9.3,38.3,Orientation3_WWR3_Shade Position2_Shade Depth0_VT3_Lighting Control0.png
South,30%,Top,50cm,70%,No Lighting Control,42.95,0,117.3,6.7,44.6,Orientation0_WWR0_Shade Position0_Shade Depth1_VT3_Lighting Control0.png
East,30%,Top,50cm,70%,No Lighting Control,47.15,6.84,113.1,7,40,Orientation1_WWR0_Shade Position0_Shade Depth1_VT3_Lighting Control0.png
North,30%,Top,50cm,70%,No Lighting Control,57.96,19.38,104.7,7.2,31.4,Orientation2_WWR0_Shade Position0_Shade Depth1_VT3_Lighting Control0.png
West,30%,Top,50cm,70%,No Lighting Control,52.13,14.8,113.9,7.3,40.5,Orientation3_WWR0_Shade Position0_Shade Depth1_VT3_Lighting Control0.png
South,40%,Top,50cm,70%,No Lighting Control,51.15,0,118.7,6.9,45.7,Orientation0_WWR1_Shade Position0_Shade Depth1_VT3_Lighting Control0.png
East,40%,Top,50cm,70%,No Lighting Control,55.32,9.42,113.2,7.2,39.9,Orientation1_WWR1_Shade Position0_Shade Depth1_VT3_Lighting Control0.png
North,40%,Top,50cm,70%,No Lighting Control,66.16,25.81,102.4,7.5,28.8,Orientation2_WWR1_Shade Position0_Shade Depth1_VT3_Lighting Control0.png
West,40%,Top,50cm,70%,No Lighting Control,61.48,21.48,114.2,7.6,40.5,Orientation3_WWR1_Shade Position0_Shade Depth1_VT3_Lighting Control0.png
South,50%,Top,50cm,70%,No Lighting Control,57.42,0,119.9,7.1,46.7,Orientation0_WWR2_Shade Position0_Shade Depth1_VT3_Lighting Control0.png
East,50%,Top,50cm,70%,No Lighting Control,61.55,11.01,113.4,7.7,39.7,Orientation1_WWR2_Shade Position0_Shade Depth1_VT3_Lighting Control0.png
North,50%,Top,50cm,70%,No Lighting Control,73.54,29.51,100.5,7.8,26.7,Orientation2_WWR2_Shade Position0_Shade Depth1_VT3_Lighting Control0.png
West,50%,Top,50cm,70%,No Lighting Control,67.62,26.25,114.5,8.1,40.3,Orientation3_WWR2_Shade Position0_Shade Depth1_VT3_Lighting Control0.png
South,60%,Top,50cm,70%,No Lighting Control,64.16,0,121,7.4,47.5,Orientation0_WWR3_Shade Position0_Shade Depth1_VT3_Lighting Control0.png
East,60%,Top,50cm,70%,No Lighting Control,69,13.04,113.5,8.2,39.2,Orientation1_WWR3_Shade Position0_Shade Depth1_VT3_Lighting Control0.png
North,60%,Top,50cm,70%,No Lighting Control,85.3,33.54,98.2,8.4,23.7,Orientation2_WWR3_Shade Position0_Shade Depth1_VT3_Lighting Control0.png
West,60%,Top,50cm,70%,No Lighting Control,75.44,30.05,114.6,8.5,40,Orientation3_WWR3_Shade Position0_Shade Depth1_VT3_Lighting Control0.png
South,30%,Right,50cm,70%,No Lighting Control,45.02,0,117.1,6.8,44.3,Orientation0_WWR0_Shade Position1_Shade Depth1_VT3_Lighting Control0.png
East,30%,Right,50cm,70%,No Lighting Control,49.86,9.89,112.3,7.3,38.9,Orientation1_WWR0_Shade Position1_Shade Depth1_VT3_Lighting Control0.png
North,30%,Right,50cm,70%,No Lighting Control,60.74,23.44,103.6,8,29.6,Orientation2_WWR0_Shade Position1_Shade Depth1_VT3_Lighting Control0.png
West,30%,Right,50cm,70%,No Lighting Control,53.46,16.06,114.1,7.6,40.4,Orientation3_WWR0_Shade Position1_Shade Depth1_VT3_Lighting Control0.png
South,40%,Right,50cm,70%,No Lighting Control,53.01,0,118.4,7.1,45.3,Orientation0_WWR1_Shade Position1_Shade Depth1_VT3_Lighting Control0.png
East,40%,Right,50cm,70%,No Lighting Control,57.72,12.53,112.3,7.9,38.4,Orientation1_WWR1_Shade Position1_Shade Depth1_VT3_Lighting Control0.png
North,40%,Right,50cm,70%,No Lighting Control,69.38,29.47,100.6,8.5,26,Orientation2_WWR1_Shade Position1_Shade Depth1_VT3_Lighting Control0.png
West,40%,Right,50cm,70%,No Lighting Control,62.4,23.41,114.2,8.2,39.9,Orientation3_WWR1_Shade Position1_Shade Depth1_VT3_Lighting Control0.png
